Timestamp (s),Time Format (HH:MM:SS),Value
9768.000,02:42:48,47535
9770.000,02:42:50,47535
9772.000,02:42:52,47535
9774.000,02:42:54,47535
9776.000,02:42:56,47535
9778.000,02:42:58,47535
9780.000,02:43:00,47535
9782.000,02:43:02,4753.0
9784.000,02:43:04,4753.0
9786.000,02:43:06,4753.0
9788.000,02:43:08,4753.0
9790.000,02:43:10,4753.0
9792.000,02:43:12,4753.0
9794.000,02:43:14,4753.0
9796.000,02:43:16,4753.0
9798.000,02:43:18,4753.0
9800.000,02:43:20,4753.0
9802.000,02:43:22,4752.5
9804.000,02:43:24,4752.5
9806.000,02:43:26,4752.5
9808.000,02:43:28,4752.5
9810.000,02:43:30,4752.5
9812.000,02:43:32,4752.5
9814.000,02:43:34,4753.0
9816.000,02:43:36,4753.0
9818.000,02:43:38,4752.5
9820.000,02:43:40,4752.5
9822.000,02:43:42,4752.5
9824.000,02:43:44,4752.5
9826.000,02:43:46,4752.5
9828.000,02:43:48,4752.5
9830.000,02:43:50,47525
9832.000,02:43:52,47525
9834.000,02:43:54,47525
9836.000,02:43:56,47525
9838.000,02:43:58,47525
9840.000,02:44:00,47525
9842.000,02:44:02,4752.0
9844.000,02:44:04,4752.0
9846.000,02:44:06,4752.0
9848.000,02:44:08,4752.0
9850.000,02:44:10,4752.0
9852.000,02:44:12,4752.0
9854.000,02:44:14,4752.0
9856.000,02:44:16,4752.0
9858.000,02:44:18,4752.0
9860.000,02:44:20,4752.0
9862.000,02:44:22,4752.0
9864.000,02:44:24,4752.0
9866.000,02:44:26,4752.0
9868.000,02:44:28,4752.0
9870.000,02:44:30,4752.0
9872.000,02:44:32,47515
9874.000,02:44:34,47515
9876.000,02:44:36,47515
9878.000,02:44:38,47515
9880.000,02:44:40,47515
9882.000,02:44:42,47515
9884.000,02:44:44,47515
9886.000,02:44:46,47515
9888.000,02:44:48,47515
9890.000,02:44:50,47515
9892.000,02:44:52,47515
9894.000,02:44:54,47515
9896.000,02:44:56,47515
9898.000,02:44:58,47515
9900.000,02:45:00,47515
9902.000,02:45:02,47515
9904.000,02:45:04,47515
9906.000,02:45:06,47510
9908.000,02:45:08,47510
9910.000,02:45:10,47510
9912.000,02:45:12,47510
9914.000,02:45:14,47510
9916.000,02:45:16,47510
9918.000,02:45:18,4751.0
9920.000,02:45:20,47510
9922.000,02:45:22,47510
9924.000,02:45:24,47510
9926.000,02:45:26,47510
9928.000,02:45:28,47505
9930.000,02:45:30,47505
9932.000,02:45:32,47505
9934.000,02:45:34,47505
9936.000,02:45:36,47505
9938.000,02:45:38,47505
9940.000,02:45:40,47505
9942.000,02:45:42,47505
9944.000,02:45:44,47505
9946.000,02:45:46,47505
9948.000,02:45:48,47505
9950.000,02:45:50,47505
9952.000,02:45:52,47505
9954.000,02:45:54,4750.0
9956.000,02:45:56,4750.0
9958.000,02:45:58,4750.0
9960.000,02:46:00,4750.0
9962.000,02:46:02,4750.0
9964.000,02:46:04,4750.0
9966.000,02:46:06,4750.0
9968.000,02:46:08,4750.0
9970.000,02:46:10,4750.0
9972.000,02:46:12,4750.0
9974.000,02:46:14,4750.0
9976.000,02:46:16,4750.0
9978.000,02:46:18,47500
9980.000,02:46:20,47500
9982.000,02:46:22,47500
